 age,sex,sentence
39,female,"RT @rii_327_: おじいちゃんが経営していた旅館が
コロナウイルスの影響で中国人観光客の予約が3ヶ月分キャンセルになってしまい、今月いっぱいで閉めることになりました。
だいすきなおじいちゃんが残してくれたこの旅館を最後まで一人でも多く人に来てもらいたいので少しでも気に…"
39,female,"@manabu93 落ち着いた？(゜Д゜)
大丈夫ー？？"
39,female,"@Pinakano おはようございます""(ﾉ*&gt;∀&lt;)ﾉ"
39,female,@drake_mo @Ozaki_Mayumi わー！尾崎魔弓さんだ！現役の時と変わってないのが凄いですね（*｀・ω・*）ゞ✨
39,female,@k93uu1 お誕生日おめでとうございます(∩´∀`∩)💕︎💕︎💕︎💕︎💕
39,female,RT @TMR15: なぁなぁ、で結局のとこライブとかイベントはやっていいの？あかんの？どっち？やっても怒られて、やめても怒られる... そろそろ政府でちゃんと決めて欲しい... ( ⌯᷄௰⌯᷅ ;)＜「自己責任」は無責任ッスよ...
39,female,@YnvPsziJ5s1Z2mD お誕生日おめでとうございます(∩´∀`∩)🎂🎉🎊٩(ˊᗜˋ*)و
39,female,@KXVK_1113 おめでとうございます⸜(* ॑꒳ ॑*  )⸝⋆*🎂🎉🎊٩(ˊᗜˋ*)و
39,female,"@tM9krWkxH32ne35 ほんまー？( ु ›ω‹ ) ु♡
ってほんまに少し休んでよ💦💦"
39,female,"@tM9krWkxH32ne35 さおりん、1人で抱えすぎ💦頑張り過ぎよー！
少し身体休めて🥺💦"
39,female,"@myupom24 おめでとうございます！
凄い二重ですね🤗✨✨"
39,female,"@93luvmai まぃまぃさん(∩´∀`∩)💕ほんまです！また会えたときはもっと交流しましょーね❤ 
写真今日中に送っておきます🥰(遅くてごめんなさい😅💦)"
39,female,"@93luvmai まいまいさん！声かけてくれてありがとうございます🙇‍♀️🥰
めっちゃ嬉しかったです！！

帰り気をつけて下さいね🙋‍♀️"
39,female,@custom0610 (°∀°)ﾋｨｨｨｨ
39,female,"@custom0610 えー！大丈夫？😭💦💦

次のシリーズはありませんように。🙇‍♀️🙇‍♀️🙇‍♀️"
39,female,@manabu93 ありがとう（*｀・ω・*）ゞ
39,female,"@manabu93 ありがとう⸜(* ॑꒳ ॑*  )⸝⋆*
12時過ぎとかに行ったら多分グッズも、通しチケットの特典とかもめちゃ並んでるよねー？？😅💦"
39,female,@manabu93 私はあと1時間半後にぐらいにつくよー😆
39,female,"@KXVK_1113 おはようございます。
今日通し参戦しますよー！
今度こそは声かけさせて頂きます😃✨"
39,female,"RT @syo___ji758: 何度かツイートしましたが、多目的トイレに長時間居座られると車椅子を使用してる方や赤ちゃんのオムツ替えの為使用される方、オスメイト使用されている方など非常に困ります。
誰も健常者は使うななんて偉そうな事は言いません。
だけど本当に必要としている方…"
39,female,@KODAaaya ほんまにそうです😭残念です。
39,female,@KODAaaya ほんまですね！それで、出待ち無くなったんで辛いです💦 前はみんな無言で手をふってたのに。
39,female,@KXVK_1113 お願いします(⋆ᴗ͈ˬᴗ͈)”✨✨
39,female,RT @izumana0629: 本当に酷いショッキングな写真です…もう酷すぎて虐待した奴殺したい！こんな顔になって瀕死の状態なのに人に寄ってくる懐っこい子らしいです。命は助かりましたがこれから大手術をします。私も個人的に寄付しました。みんなの力を貸して下さい😢拡散、募金お願い…
39,female,@KODAaaya 吸殻とか騒音ですか？🥺💦
39,female,"@KXVK_1113 フォローさせて頂きます🙇‍♀️
2日参戦します。よろしくお願いします。

いつもチラ見してるので💦💦今度こそ声かけます😅🙋‍♀️🙇‍♀️"
39,female,@koda93you ゆうこちゃん🤗
39,female,@3ah093510 お疲れ様！（*｀・ω・*）ゞ良かったね！👍👍👍
39,female,"RT @drake_mo: 昨日お出かけした帰りに信号待ちでふと見つけた瞬間に…想像からの独りでウケて撮影🤣

くぅちゃんファンならわかるよね？🤣🤣🤣

#ほんっっばに‼️www

#ほんまはほんば

#倖田來未
#倖田組
#くぅちゃん
#画像は一部FAKEですw https:…"
39,female,"@manabu93 私もわからんかったw

コッチでも、
まなぶくんお誕生日おめでとう😆✨✨
いつもありがとうね🤗🙌
これからも來未子のライブ会場、オフ会、他のライブ wでも会おうね👍👍
素敵な誕生日を🎂🎊🎉👏💕︎✨"
39,female,@s2kd93s2 私もー！(`・ω・)ｂｸﾞｯ!
39,female,"@s2kd93s2 そうなんですよ！絶対後悔するので😭💦
ちょっとでも気になったのあれば絶対買ったほうがいいですよね💦"
39,female,"@s2kd93s2 私もこれ、買ってなくて😭💦
オンラインMが無いんですよねー。
ほんま後悔😭😭"
39,female,@manabu93 @naruG1023 GODIVAだけなんか現実的www🤣🤣🤣
39,female,@koda93you まるちゃん！(`・ω・)ｂｸﾞｯ!
39,female,@kunchan0720 うん🥺私 きっとお金残せやんし、娘はひとりっ子やから😅💦
39,female,"@kunchan0720 くんちゃん、こういうパターンもありよな？？
私の場合…ほとんど友達もいないし、死んだ後にお金かけやんでいいと思って😅👍"
39,female,"通夜も告別式もない「直葬」増加の背景　大手業者も参入（西日本新聞） https://t.co/7G14LZSzZz 

私はこれにしてって娘に言ってある！😃"
39,female,RT @YAKO_ROOM: さっきATMで隣にいたおじいちゃんに銀行員の人が「振り込め詐欺の防止で70歳以上の方は制限をかけております。恐れ入りますが何に対してお振込みするのかお聞きしてもよろしいでしょうか？」って聞いてたんだけどめちゃくちゃ恥ずかしそうに「みかんです」って言…
39,female,"RT @bineger_1216: ビネさん、無事に大役をこなしてくれました！
友達が作ってくれたビネの白ドレス可愛すぎてたまらん😍
最初は透明の床にあんなにビビってたのに当日のこの余裕の走りのせいで動画におさめれた人が全然いない😂笑 https://t.co/aE6vJfU6…"
39,female,@tomotomotomo051 知美さん！ありがとうございます🤗✨✨
39,female,@metalyuki666 どうしたん？大丈夫？💦
39,female,@kuuchan69devil 私もほかの人　全くわからんかった🤪🤪🤪
39,female,@kuuchan69devil 私も…😅とりあえず にこるんと、ゆきぽよ 、みちょぱ が楽しみw🤣🤣
39,female,@manabu93 え！そうなのー？以外と緩いんやね！🤣👍じゃあ大丈夫やね🙌
39,female,@manabu93 どうなんやろ？確かチケットの郵送って名前確認？するもんね？？
39,female,@kuuchan69devil ありがとう🤗娘が関コレも観れるから楽しみにしてるわ🤣👍👍👍
39,female,"@manabu93 早いよね！！届いてると思うよ👍
あ、でも本人確認？できないと受け取れないパターンのやつ！！"
39,female,"RT @omoti194: 「相手がコンドームを外したがる」「断ると嫌われたり怒られたりしそうで断れない」って相談めちゃくちゃ多いけど、

相手はあなたを大事にしてないからゴムを外したがるわけよ！！あなたが相手を大事に思う必要無いわ！！

そんな輩には心のシャッターも、ケツの穴…"
39,female,@cbrm_93in こないだ申し込んで、すぐ来たからびっくりしました！！😆👍
39,female,"ピエール中野さんに会いたい！
当たりますように！！
#ピエール中野
#ピヤホン 
#凛として時雨 
#キリトリ線2 https://t.co/xpcFYgJVzF"
39,female,関西コレクションのチケット届くの早いー！ https://t.co/vEPGnEW5GC
39,female,"RT @naaachan_93: 倖田來未ってこんなに綺麗やったっけ？
細い、スタイル維持すごい、
7歳の息子がおると思えへん、
若い、今の方が好き

とかめっちゃ高評価多くて
みんなのツイート嬉しすぎる
めっちゃいいねしてもた🥺🖤

ほんま美しすぎ尊い〜〜

#倖田來未 ht…"
39,female,@kuu_se2 いつもありがとうございます！(⋆ᴗ͈ˬᴗ͈)”︎💕︎💕
39,female,"RT @YUMA0617: 倖田來未久し振りに見たけど、めちゃくちゃ綺麗やん！
えっ！？
身長154センチ？"
39,female,"RT @touhonyade: 倖田來未が動いてるところ始めてまともに見てるねんけど
こんなに可愛い人やったんやて驚いてる

#行列のできる法律相談所"
39,female,@chibiee1014 私もカマたくさん大好きで行ってみたいです！👍東京はなかなか行けないですよね😅
39,female,"@naolariat2 あゆは ドンピシャ世代で、めちゃくちゃ聴いてました！！🤗❤️
でもあゆのライブは今度の和歌山公演で３回目ですよー！"
39,female,@naoppe2261 あゆはドンピシャ世代でめちゃくちゃ聴いてました❤でもライブは今度行く和歌山公演で3回目です🤗
39,female,@kuuchan69devil 慶ちゃんありがとう⸜(* ॑꒳ ॑*  )⸝⋆*❤
39,female,@seikohitonooya ついに公開ですね！(∩´∀`∩)💕
39,female,"@3ah093510 気になるよね。
さほちゃんも大丈夫なのー？？🥺💦"
39,female,RT @Pinakano: この後23:30〜有吉反省会に出演します。ピを予習したい方はこちらをどうぞ。長いです。／ピエール中野が何をやってる人なのかわからなくなった方へ。随時更新する自己紹介です。｜ピエール中野 凛として時雨 #有吉反省会  https://t.co/EzD1…
39,female,@3ah093510 大丈夫やったんかなぁ？💦
39,female,わーい。あゆの和歌山公演のチケット当選した！꒰⌯͒•·̫•⌯͒꒱︎💕︎💕
39,female,RT @ehara_hiroyuki_: あなたに意地悪してくる人がいても相手にしすぎないでください　その人は、幸せではないのです　心が寂しいのです
39,female,"RT @ayumuyuki666: #いじめどっちが悪い問題に終止符
なんかTL見てたら

「いじめられる側にも原因ある」

とか、分かったようなこと書いてあって、その意見はよく目/耳にするのね

でも根本はそこじゃないんだわ

悪いのは

「いじめる人間に育てた親が悪い」…"
39,female,"@kloopachiKumirn ほんま数少ないですよね(笑)
(⋆ᴗ͈ˬᴗ͈)”︎💕︎💕"
39,female,@kloopachiKumirn こちらこそ！和歌山同士嬉しいですよね🙌🙌
39,female,@kloopachiKumirn フォロバありがとうございます(∩´∀`∩)💕よろしくお願いします！
39,female,"こないだの｢HYDEサザン｣お披露目の日、和歌山来てたんやね！！
和歌山を広めてくれてるの嬉しいわ～🙌
ラルクのツアーでも和歌山来て欲しいな…😆
#HYDEサザン 
#和歌山 https://t.co/S4Y0ectSc2"
39,female,"RT @makoto616303331: そうそう💡💡
このKKXXジャケットのチャック、結構いいの使われてるんだよね🤩

こういう細かいところまでこだわりもって、ひとつひとつグッズ作ってくれる倖田來未様ホント好き🥰🥰

だからこの値段なんだなって思えるし、大事に使おうって思え…"
39,female,RT @___La9300: 組会のお知らせ🙋‍♀️💜3月14日(土)19:00〜新宿で新年会をします！締切は2月15日😈確実に来れる方のみグループ招待します、来れる方は@___La9300か@naruG1023 に連絡ください！
39,female,"RT @naruG1023: 拡散希望‼️‼️
ヨロシクお願いします🤩✨✨
みんなでわちゃわちゃやりましょー‼️‼️"
39,female,@Beni0117ymh お誕生日おめでとう⸜(* ॑꒳ ॑*  )⸝⋆*🎂🎉🎊㊗️🎉
39,female,@Beni0117ymh お誕生日おめでとう〜🎂🎁🎉🎊╰(*´︶`*)╯💛❤️
39,female,@kadumi93 はい！🤗またよろしくお願いします🙋‍♀️🙇‍♀️
39,female,"@kadumi93 効果あったら教えて下さい！！
m(__)m"
39,female,@luu_shii03 ですね💛(๑˃̵ᴗ˂̵)  着物着たいです〜。
39,female,@luu_shii03 わかりますー！私も2回目ですが、着物着たいです😆😆
39,female,"観れて良かった❤
くぅちゃん最倖～❤❤
#ももいろ歌合戦 
#ももいろ紅白歌合戦 https://t.co/oKuS53V7WT"
39,female,@metalyuki666 てへっwww
39,female,@metalyuki666 ツイート消しとこ😂💦💦
39,female,@metalyuki666 あ！本名を晒してしまった(笑)
39,female,@custom0610 暖かくしてゆっくりしてね⸜(* ॑꒳ ॑*  )⸝⋆*
39,female,@seikohitonooya 一緒です💦
39,female,@Lucky_pinro ありがとうございます🥰🙌🙌🙌
39,female,"@TERU232123639 テルさんも気を付けてね！
私も余裕を持った運転 心掛けるよー👍👍"
39,female,@chiiitan06 そうですよね！ほんとに気を付けましょう！👍👍👍
39,female,"今日は朝から車とバイクの事故現場を見ました。
バイクの方 倒れて動け無い様子でした。
自分も含め、運転気を付けましょう！
バイクの方無事でありますように。"
39,female,"@fDKkZ2Vrfs9HNto わーい♡(*´∀｀*)人(*´∀｀*)♡
とれとれ市場楽しんで下さいねー！👍👍👍👍"
39,female,"@fDKkZ2Vrfs9HNto 和歌山へようこそ！千葉から長旅お疲れ様です😆❤️
和歌山は自然がいっぱいあって温泉もオススメなんですよー🤗🤗"
39,female,"RT @gt__yon: 絶対この言葉で救われる人たくさんいると思う
#EXI怒 https://t.co/02g2BV909o"
39,female,"@koda93you えー！めっちゃ好きなやつ❤
懐かしいね！"
39,female,@fDKkZ2Vrfs9HNto 素敵です😍😍
39,female,"@tM9krWkxH32ne35 私 それやったら、｢発情」やったよ？🤣💦
リア充は羨ましいわ👍👍"
39,female,@koudyui 初めまして❤コス完成度高いですよね！😍たのしく見させてもらってますよ！
39,female,@naruG1023 年末年始、とっかえひっかえでwww😂🤣
39,female,"@tensinowanko テルさん 発狂wwwwww
🤣😂🤣😂🤣😂🤣😂🤣😂"
20,male,"誰かと喋りながらオンラインでゲームするっていうのがちょっとした夢でしてね
それがようやく叶って大満足
近いうちにまたやりたい"
20,male,小学生の頃からゲーム自体は好きだったんだけどさ、大学生になるまで家にネット環境がなかったからさ、オンラインというものをしたことがなかったんよ
20,male,金がようやく仕事した https://t.co/Uzkv1luPdE
20,male,"なるほどねピッコロ大魔王のLRね
天下一のバナーにいたからおそらくローカルなんだろうな"
20,male,"時ちゃん2種
むずい https://t.co/CpzKBPa6ZN"
20,male,"ゲンガーがトレンドに
めちゃめちゃタイムリーだな
ゲンガーのふっくらした感じかわいい"
20,male,"いや〜いい性能してる
この王子の絵好きだから嬉しい極限 https://t.co/m5XbSph5Io"
20,male,"酒丸々1ケース落として凹ますわ
商品とぶつかり落とすわ
飲料も落とすわで散々な1日でしたね
だからもうあれだ、疲れてるんだわ
明日がなかったら病んでた"
20,male,"バ先から早く来れるかというクソみたいな電話が来てしまった
朝の時点でもう疲れてるんだけどなー"
20,male,レジェンズはこれを実装したからドカバトにも繋ぎのフェスでいいから実装して(ずっと待ってる) https://t.co/iA0JbgWer4
20,male,今日一日頑張れば休みだ
20,male,"パンダのスタンプかわいすぎてしんどい
パンダだけで会話できちゃうけど、手持ちのパンダじゃ会話を締めれない
推したい"
20,male,"知の未来悟飯って誰も使わないのか？
使いたいのに全然出てこん"
20,male,サイヤの日まですることないな
20,male,あと1日耐えればようやく丸一日の休みだ
20,male,"ギンガの一話が配信されてたから久しぶりに見たら懐かしすぎた
ニュージェネ一発目が始まったのって確か中学の時だったんだよな
ゼロの存在が円谷を救ってニュージェネに繋がったから本当にゼロは偉大だ"
20,male,"最近はよく原作絵の商品を出してくれる
いつか缶バッジも出してほしいな https://t.co/DwbIF3c9F6"
20,male,"クウラが強いのは十分わかってるし、交換価値大有りなんだけど、年末の超2ベジータも捨てがたいんだよな
強さで選ぶか推しを選ぶかだな"
20,male,クウラ交換しようか迷うな
20,male,@ko_n5_tr_jo_ あい、ボコってらっしゃい
20,male,@ko_n5_tr_jo_ 4つ以上バッジあったら捕まえれたはず(?)
20,male,@ko_n5_tr_jo_ 晴れの日しか出ないから気をつけてね
20,male,"バイト終わりも爆音で聴いて帰ってきたけど本当に良い曲なんだ
2番のサビの歌詞がめちゃ美
早く語りたい
一番は映画館で聴きたい"
20,male,"延期は辛いけど楽しみに待ってよう
歌と声が良き、生きれる
見つけたフロンティアから終わりまでの部分が個人的には大好きです
ライブで盛り上がりそう https://t.co/clDuk0SkZn"
20,male,"RT @sakai_saigai: 重大事件の発生（大阪府警察提供）
3/4 AM7:45ころ、大阪狭山市岩室1丁目付近路上において､成人男性が刃物で刺されるという事件が発生。犯人は、年齢20歳前後、身長170～175cm位、ぽっちゃり型の男性で、徒歩で逃走中です。このような男…"
20,male,ドカバトにも早く来てね
20,male,"RT @db_legends_jp: あの名シーンが甦る！
【""ラディッツ""・""孫悟空""・LEGENDS LIMITED""ピッコロ""が登場!!】
ラディッツはバトル開始序盤、自身に多数の消去不可な能力強化を付与！
悟空は究極技「曲がるかめはめ波」持ちだ！
ピッコロの必殺技「魔貫…"
20,male,"can you hear meって言ってたのか
歌詞がエモい"
20,male,RT @sugitaLOV: そうだね。わかるよ。 https://t.co/AjlHUka7n0
20,male,"5周年が良すぎたからまぁ今回はしゃーない
当たる時は当たる
当たらない時は当たらん"
20,male,終わり https://t.co/3gB306O6Os
20,male,"激怒悟空に変身ベジータに変身クウラか…
ワンチャン1位取りそうなピックアップ クウラ欲しいな"
20,male,"足が重いぜ！
この後にバイトとかなんていう名前の地獄じゃ！？"
20,male,まだ何も始まってないけど帰りたい
20,male,"夜遅くにバイトが終わり朝早くからはあれがあるし、終わったら次はバイトだし、もぉやだやだやーだー
いろんなものに癒されたいよ〜"
20,male,"この悟飯ちゃんのイラストあったっけな？
ウイスさんの覚醒前かわいい https://t.co/QvhigcroqV"
20,male,"【ドラゴンボールZ ドッカンバトル】
5周年を記念したキャンペーンは、まもなく終了！
期間中にイベントやミッションを遊びつくして、報酬を余さずGETしよう！
▼公式サイトはこちら
https://t.co/NQQEykAvVC
#ドッカンバトル #ドラゴンボール"
20,male,RT @tomoyanandayo: 未来人　来て欲しい https://t.co/3qxwmaaIvG
20,male,"一番辛いのは作品を作り上げてきたキャストスタッフなのは間違いない
我々にできるのは再び公開が決まった時に観に行くこと 
何歳になろうとずっと大好きなヒーローだから公開が決まったら必ず応援しに行きます！
頑張れタイガ！！！！"
20,male,"【ドラゴンボールZ ドッカンバトル】
5周年を記念したキャンペーンは、まもなく終了！
期間中にイベントやミッションを遊びつくして、報酬を余さずGETしよう！
▼公式サイトはこちら
https://t.co/NQQEykAvVC
#ドッカンバトル #ドラゴンボール"
20,male,ガイさんは本当にかっこいいな
20,male,"グリージョ可愛かったな
早く観たい"
20,male,"ビルス様マジか！？
てかウイスさん強えぇ"
20,male,"夜遅くに終わって朝からのバイトはしんどいな
グリージョちゃんリアタイしたかった"
20,male,"情緒が安定しない
一年くらい前からだけど
感情の波が我ながらすごいよ
そろそろ心身ともにケアされたい"
20,male,ネットでDVDとか買った時に中々届かない時に使えそう https://t.co/RHYxiVcKqb
20,male,"【ドラゴンボールZ ドッカンバトル】
5周年を記念したキャンペーンは、まもなく終了！
期間中にイベントやミッションを遊びつくして、報酬を余さずGETしよう！
▼公式サイトはこちら
https://t.co/RCtDLGLvfK
#ドッカンバトル #ドラゴンボール"
20,male,いじわるなMJいいな
20,male,働きたくない
20,male,双眼鏡のレニーかわいいから好き
20,male,いつも敵にされるポテトヘッド
20,male,"あ〜長かった
これで明日は長時間バイトか"
20,male,"帰りたい〜
まるで学校"
20,male,"まぁユニバもそうなるよね
寂しいな"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「5周年記念！チケットガシャ」終了まであと少し！
「記念ガシャチケット」を使って、忘れずにガシャを引いておこう！
▼公式サイトはこちら… https://t.co/7KFkLRSUZi"
20,male,ニュージェネの集大成にふさわしい主題歌だし映画も楽しみだからタイガには報われてほしい
20,male,タイガは令和一発目のウルトラマンだけど放送直前でのトラブルだったり今回の舞台挨拶中止だったりと色々辛い経験をしてるけど映画は是非とも完走してほしい
20,male,予告で何回もリピートして聴いてたけど今の自分のメンタルの問題もあるけど聴く度泣かされる
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「5周年記念！セレクトドッカンフェス」開催中！
ラインナップの中から好きな1体を秘宝「ゴッド龍石10」との交換で忘れずに仲間にしよう！
▼公式サイトはこちら… https://t.co/KG07b4lVz7"
20,male,"ドラマティックな〜(世界は)のところが予告の時点からたまらなく好きでした
聴きました、やっぱり好きです"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「5周年記念！55連ガシャ」開催中！
ミッションなどで「55連ガシャチケット」を55枚集めて「5周年記念！55連ガシャ」を引いてみよう！
▼公式サイトはこちら… https://t.co/ZKEib4BXrt"
20,male,やったぜ！ https://t.co/dVKK25LK20
20,male,"☺️
周年前に推しを出してくるとは… https://t.co/WKSjcBVcWA"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
5周年を記念したミッション第3弾が開催中！
第3弾までの限定ミッションを全てクリアすると「スペシャルステッカー」をGETできるぞ！
▼公式サイトはこちら… https://t.co/SXYWabwmyA"
20,male,昨日もディーコンが保安官してたのか…
20,male,RT @gohikuniha3: 徐々に近づいてくるサザエさんのオープニング https://t.co/TVy2KIkClT
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
チャレンジイベント「インフィニットドラゴンヒストリー」にステージ6が登場！
待ち受ける強敵たちに挑戦してみよう！
▼公式サイトはこちら… https://t.co/p9AhDSDjRq"
20,male,"vジャンの銀河パトロール囚人編の最新話見たけどまさか悟空の方が先に到着するとは珍しい
これは王子の活躍に期待していいってことですかね"
20,male,"やばすぎ！
ドカバトでもこのイラストのロゼ様好きなんでなおさら嬉しいですね https://t.co/jXCXWehocl"
20,male,"今回一番高いと言われてるロゼ様が当たりました
大本命です https://t.co/EpZ633sLiC"
20,male,"ドカバトコラボのくじ5回引いたんですよね
そしたら… https://t.co/69W8KniVlv"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「極限Zエリア 人間0計画」開催中！
LRザマス(孫悟空)は極限Z覚醒が可能に！
覚醒メダルを集めて、さらなる高みを目指そう！
▼公式サイトはこちら… https://t.co/94T2TNGKR3"
20,male,変身持ちのキャラはステッカー貼るだけで数種類見れるから得だな
20,male,"迷ったけどやっぱり最初はベジータで
いや〜綺麗だ https://t.co/iMwrA7AGx9"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「とどけ希望の光！がんばれトランクスキャンペーン」開催中！
お題を達成して「龍石」や「壁紙」など豪華報酬をGETしよう！
▼公式サイトはこちら… https://t.co/jv98ZSJyqI"
20,male,"やべぇな…
今までで一番神引きかもしれん"
20,male,"【ドラゴンボールZ ドッカンバトル】
最後まで盛りだくさんの5周年！
「超次元融合合体！5周年神越DOKKAN謝祭」の第3弾が開催中！
イベントやミッションなど、最後まで余すことなくドッカンと楽しもう！
▼公式サイトはこちら… https://t.co/XTKvr2E2hu"
20,male,"20体の内持ってるのが6体か…
できればダブりたくないが初期の方のLRは避けたい
カリケルorゴクフリが出れば大満足"
20,male,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
極限Zバトルを大量復刻して開催中！
この機会に数々の強敵に挑戦してみよう！
▼公式サイトはこちら
https://t.co/NQQEykAvVC
#ドッカンバトル #ドラゴンボール"
20,male,全然金のスキル玉が落ちん
20,male,"明日明後日ぐらいから第3弾始まるかな
早く55連引きたい"
20,male,フレンドさんにお借りしたバンパ組使ったけど強いしチライちゃんかわいい https://t.co/FOPlmKWkq6
20,male,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
秘宝「5周年コイン」との交換で豪華アイテムをGETできるぞ！
ログインボーナスやミッションで秘宝「5周年コイン」を集めよう！
▼公式サイトはこちら… https://t.co/ht6cbB5d5e"
20,male,楽しく描けましたロゼ様 https://t.co/pDM8JCQ8zY
20,male,RT @wat_son_: マホイップが可愛すぎて死ぬ人 https://t.co/KD2AA8NtWV
20,male,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
5周年を記念したミッションで豪華報酬をGETしよう！
1日1回のみ挑めるイベントのクリア回数に対応したミッションもあるので、お見逃しなく！
▼公式サイトはこちら… https://t.co/fdR3E61RzJ"
20,male,いや〜かわいい https://t.co/N3L0QYIV7D
20,male,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
「頂・伝説降臨」開催中！
LRまでドッカン覚醒可能な新SSRゴクウブラック(超サイヤ人ロゼ)とブロリーは超必見！
▼公式サイトはこちら
https://t.co/NQQEykAvVC
#ドッカンバトル #ドラゴンボール"
20,male,ポタラカテゴリ https://t.co/ijrJhsdzWY
20,male,超4コンビ https://t.co/5RUum385NF
20,male,"魔師弟
いつもクオリティ高いんですけど今回はピッコロが一番良いかもしれない https://t.co/KUTYjzrKme"
20,male,探すのに苦労しただけあって大満足 https://t.co/lJu8zWEbe6
20,male,"【ドラゴンボールZ ドッカンバトル】
まだまだ続く5周年！
「超激戦BOSSラッシュ」はステージ10まで登場！
熾烈な闘いに勝利して大量の「龍石」をGETしよう！
▼公式サイトはこちら
https://t.co/NQQEykAvVC
#ドッカンバトル #ドラゴンボール"
20,male,"かわいい
 #ポケモン剣盾 #NintendoSwitch https://t.co/pQVS78NuVS"
20,male,"いや〜あるつもりでいたからだいぶショック
バイト行く気なくした、元からないけど"
20,male,まぁ本来は明日だし明日また別のところに冒険するか
20,male,超戦士フィギュア発売日明日とはいえどもいつも前日に売ってるとこに買いに行ったがもうほぼ買われてたし在庫もないって言われたから萎え萎えの激萎え
20,male,6時間弱ぶっ通しはダメよ
